file,n,m,ratio1,ratio2,density,avg_clustering,mst_size,tsp_approx,edge_min,edge_max,edge_mean,edge_std,edge_var,edge_q25,edge_q75,between_min,between_max,between_mean,between_std,between_var,between_q25,between_q75,closeness_min,closeness_max,closeness_mean,closeness_std,closeness_var,closeness_q25,closeness_q75,GILS_cost,GILS_time,GRASP_cost,GRASP_time,DBMEA_cost,DBMEA_time,min_method
GILS_20_2.tsp,20,210,0.0952380952380952,10.5,1.105263157894737,0.4437146911757571,19,198015.0,0.0,5227.0,2414.75,1267.089514399042,1605515.8375,1549.25,3325.0,0.0555555555555555,0.0643274853801169,0.057943469785575,0.0028661434605326,8.214778336354203e-06,0.0555555555555555,0.0604288499025341,0.0003125102799434,0.0005382131324004,0.0004065125990711,7.66761756598116e-05,5.879235913814285e-09,0.0003412688108444,0.0004516138991788,153010.0,0.4335591793060303,196210.0,0.0035104751586914,159368.0,0.2483894824981689,GILS_cost
GILS_21_11.tsp,21,231,0.0909090909090909,11.0,1.1,0.4362491067444043,20,220238.0,0.0,6285.0,2872.975056689342,1497.830196883999,2243495.298697559,1792.0,4003.0,0.0526315789473684,0.0684210526315789,0.0560568086883876,0.0044308874206102,1.9632763334122e-05,0.0526315789473684,0.0578947368421052,0.000262991794656,0.0004416375921918,0.0003389430875811,5.0992608441681047e-05,2.600246115686601e-09,0.0002956305800271,0.0003724256079848,183815.0,0.6743943691253662,269644.0,0.0040016174316406,189333.0,0.3036317825317383,GILS_cost
GILS_24_14.tsp,24,300,0.08,12.5,1.0869565217391304,0.4052326011019074,23,268450.0,0.0,5719.0,2403.6319444444443,1226.8182834659008,1505083.1006462192,1545.25,3395.0,0.0454545454545454,0.0573122529644268,0.0482542819499341,0.0038282396512101,1.4655418827097816e-05,0.0454545454545454,0.0508893280632411,0.0002654234080365,0.0005430548013127,0.0004112143716008,7.228209182285552e-05,5.2247007982877165e-09,0.0003571596563673,0.0004718465518124,216809.0,0.8520777225494385,269420.0,0.0050232410430908,220357.0,0.3649411201477051,GILS_cost
GILS_25_16.tsp,25,325,0.0769230769230769,13.0,1.0833333333333333,0.4247277852247852,24,305914.0,0.0,5965.0,2667.584,1381.6560960470592,1908973.5677440003,1664.0,3720.0,0.0434782608695652,0.0621980676328502,0.0478341384863124,0.0058363539586617,3.406302753078642e-05,0.0434782608695652,0.0513285024154589,0.0002888190909419,0.0004711795193968,0.0003682514037226,5.687985222436079e-05,3.23531758906512e-09,0.0003199488081906,0.0004056109514956,229956.0,1.0715796947479248,329641.0,0.0060024261474609,238672.0,0.6330254077911377,GILS_cost
GILS_27_9.tsp,27,378,0.0714285714285714,14.0,1.0769230769230769,0.4436736040674798,26,282441.0,0.0,5122.0,2383.0205761316874,1194.2383277177407,1426205.1833900658,1544.0,3225.0,0.04,0.0538461538461538,0.0422602089268756,0.0035618486365754,1.2686765709874287e-05,0.04,0.0446153846153846,0.0003208806940896,0.0005217321507404,0.0004137539240557,6.359960294154454e-05,4.044909494322121e-09,0.0003576291946287,0.0004689254810816,239255.0,1.2466990947723389,339708.0,0.0070025920867919,239287.0,0.682558536529541,GILS_cost
GILS_29_14.tsp,29,435,0.0666666666666666,15.0,1.0714285714285714,0.3781757908197227,28,361245.0,0.0,5885.0,2328.563614744352,1223.3856585298706,1496672.4694965652,1460.0,3052.0,0.037037037037037,0.0552910052910052,0.0402602931338563,0.0037600075214083,1.4137656561047444e-05,0.037037037037037,0.0423280423280423,0.00027285927283,0.0005675138838218,0.0004322732952265,8.54488905182568e-05,7.301512890801038e-09,0.0003636835952721,0.000498229505863,261312.0,1.4696307182312012,345657.0,0.0085129737854003,270097.0,0.8796002864837646,GILS_cost
GILS_31_5.tsp,31,496,0.0625,16.0,1.0666666666666669,0.4495910699691416,30,423253.0,0.0,5870.0,2802.4370447450574,1405.0389407475027,1974134.425016865,1692.0,3943.0,0.0344827586206896,0.0459770114942528,0.0373839245251926,0.0029217969899692,8.536897650593103e-06,0.0344827586206896,0.0390804597701149,0.0002716628482944,0.0004565445663587,0.0003521506318982,4.94637462507814e-05,2.4466621931616902e-09,0.0003117285784588,0.00038469393989,327939.0,0.9056775569915771,367944.0,0.0105171203613281,338640.0,1.0507261753082275,GILS_cost
GILS_33_6.tsp,33,561,0.0588235294117647,17.0,1.0625,0.4306016550852952,32,424021.0,0.0,5687.0,2582.9586776859505,1279.19511149734,1636340.1332786924,1687.0,3526.0,0.032258064516129,0.0443548387096774,0.0346654913187171,0.0027903190490534,7.785880395510403e-06,0.032258064516129,0.0359543010752688,0.0002977215001442,0.0005103098537643,0.0003847600735624,6.185183829771978e-05,3.825649900807275e-09,0.0003272887197897,0.0004246059126373,371437.0,1.9324822425842283,478774.0,0.0128452777862548,394184.0,1.1988492012023926,GILS_cost
GILS_37_1.tsp,37,703,0.0526315789473684,19.0,1.0555555555555556,0.4074930704330686,36,440288.0,0.0,5784.0,2497.487216946676,1246.087829180735,1552734.878032357,1547.0,3448.0,0.0285714285714285,0.0380952380952381,0.0315405882072548,0.0031163225392627,9.71146616871707e-06,0.0285714285714285,0.0343915343915343,0.0002860911995168,0.0005266930988573,0.0003999114996839,6.472037767943253e-05,4.188727286968389e-09,0.0003495315306568,0.0004399525828882,406204.0,1.7535009384155271,476987.0,0.0186452865600585,415504.0,2.826836109161377,GILS_cost
GILS_37_3.tsp,37,703,0.0526315789473684,19.0,1.0555555555555556,0.3598301687852222,36,566353.0,0.0,6370.0,2426.2878013148284,1218.2734752454771,1484190.2604866924,1504.0,3261.0,0.0285714285714285,0.0392195767195767,0.0312931639122115,0.0030988054844318,9.602595430344948e-06,0.0285714285714285,0.0325396825396825,0.0002599672152456,0.0005369207594445,0.0004122927204766,6.584089318180729e-05,4.335023214978158e-09,0.0003705648025198,0.0004611069127611,420798.0,1.7111921310424805,494790.0,0.0175085067749023,448838.0,2.05223035812378,GILS_cost
GILS_38_18.tsp,38,741,0.0512820512820512,19.5,1.054054054054054,0.3929604738697502,37,540399.0,0.0,5871.0,2446.775623268698,1221.1205809422706,1491135.4732007887,1539.0,3308.0,0.0277777777777777,0.0382739882739882,0.0312008750605241,0.0034015840280436,1.157077389984191e-05,0.0277777777777777,0.0336117367367367,0.000281169971047,0.0005347207168147,0.000409556364668,6.912538304652575e-05,4.7783185813289095e-09,0.0003523988022705,0.0004565795067127,410814.0,2.8282251358032227,579000.0,0.0190365314483642,436397.0,2.530285120010376,GILS_cost
GILS_39_14.tsp,39,780,0.05,20.0,1.0526315789473684,0.4134081013126274,38,629081.0,0.0,5939.0,2610.732412886259,1288.0345959546653,1659033.1203760975,1630.0,3553.0,0.027027027027027,0.0389758179231863,0.029474182105761,0.0028425708506766,8.080209041116366e-06,0.027027027027027,0.0313537221431958,0.0002617783013343,0.0004985306465155,0.0003814467605009,5.5375833982936175e-05,3.0664829893057087e-09,0.0003340472497172,0.0004222382064771,446938.0,2.366546869277954,559344.0,0.0209722518920898,455678.0,2.1561553478240967,GILS_cost
GILS_40_15.tsp,40,820,0.048780487804878,20.5,1.051282051282051,0.3892948195229256,39,665455.0,0.0,6136.0,2557.20875,1318.746594374157,1739092.5801734375,1515.75,3572.75,0.0263157894736842,0.0458116033014818,0.0307530403507124,0.0051911059008532,2.694758047387316e-05,0.0269905533063427,0.03242882848146,0.0002814563562227,0.0005084348030141,0.0003925530630252,6.580136028234408e-05,4.3298190150068496e-09,0.0003475211342327,0.000437195721115,446136.0,2.3602964878082275,519512.0,0.02349853515625,467927.0,2.372754096984864,GILS_cost
GILS_41_9.tsp,41,861,0.0476190476190476,21.0,1.05,0.3966556638680807,40,682589.0,0.0,5953.0,2496.7983343248065,1264.1793058941923,1598149.317451122,1541.0,3424.0,0.0256410256410256,0.0373321123321123,0.0284585976354269,0.0032342773920989,1.0460550249042289e-05,0.0256410256410256,0.0314743589743589,0.0002849510240427,0.0005450630910527,0.0004058337561501,7.848862103766961e-05,6.160463632394912e-09,0.0003438612176125,0.0004629576046573,500424.0,2.670575857162476,592930.0,0.0250849723815917,522920.0,2.7249972820281982,GILS_cost
GILS_42_0.tsp,42,903,0.0465116279069767,21.5,1.048780487804878,0.3710680151232217,41,534959.0,0.0,6460.0,2554.987528344672,1320.194690712854,1742914.021386408,1517.0,3515.0,0.025,0.0392276422764227,0.028558201058201,0.0033464132948584,1.119848194000562e-05,0.0258638211382113,0.0316277100271002,0.0002537803994874,0.0005052496672746,0.0003961465990037,7.236314865928967e-05,5.236425283886457e-09,0.0003342483052574,0.000447273633179,479916.0,2.716843605041504,644622.0,0.0259301662445068,478244.0,2.909294605255127,DBMEA_cost
GILS_43_5.tsp,43,946,0.0454545454545454,22.0,1.0476190476190477,0.4274685971300918,42,578257.0,0.0,5835.0,2666.031368307193,1314.9039308300837,1728972.3473124057,1633.0,3677.0,0.024390243902439,0.033690983168335,0.0272384577910872,0.0030479686432039,9.290112849954785e-06,0.024390243902439,0.0301891488302638,0.0002706604114038,0.0004919933932315,0.00037429718222,5.540315736086117e-05,3.069509845552345e-09,0.0003350404974686,0.0004088371951533,529741.0,3.932642698287964,774347.0,0.0281713008880615,581303.0,3.443941354751587,GILS_cost
GILS_44_2.tsp,44,990,0.0444444444444444,22.5,1.0465116279069768,0.3952888571653072,43,690773.0,0.0,6226.0,2621.251033057851,1317.3817768083409,1735494.7458667017,1631.0,3648.25,0.0238095238095238,0.0355288368577405,0.0273030394915777,0.0029666021402358,8.80072825845192e-06,0.0246862310815799,0.0292081949058693,0.0002584522915101,0.0005052522736352,0.0003852902536796,7.001541886960161e-05,4.902158879485766e-09,0.0003359494283508,0.0004530428240613,541974.0,4.044002294540405,743457.0,0.0303764343261718,531939.0,3.260225534439087,DBMEA_cost
GILS_45_12.tsp,45,1035,0.0434782608695652,23.0,1.0454545454545454,0.37563062560521,44,595232.0,0.0,6197.0,2512.1343209876545,1306.4026890314065,1706687.9859084894,1519.0,3396.0,0.0232558139534883,0.0377026074700493,0.0269432639763858,0.0038069947657818,1.449320914669052e-05,0.0232558139534883,0.0286469344608879,0.0002784722002468,0.0005157539384846,0.0003997935576994,6.368893735572225e-05,4.056280741501112e-09,0.0003527421695246,0.0004351007653818,506882.0,2.9982824325561523,629997.0,0.0305283069610595,528774.0,3.1008193492889404,GILS_cost
GILS_45_18.tsp,45,1035,0.0434782608695652,23.0,1.0454545454545454,0.3843976178626036,44,689066.0,0.0,6373.0,2593.0953086419754,1263.3409581721298,1596030.376595275,1649.0,3526.0,0.0232558139534883,0.0382294736363516,0.0268646380633917,0.004013898383874,1.6111380236066515e-05,0.0232558139534883,0.0298332158797275,0.0002706876080443,0.0005129998834091,0.0003875249358719,6.447852949432449e-05,4.157480765750473e-09,0.0003347687812894,0.0004285742115208,622533.0,3.2956655025482178,769139.0,0.0330550670623779,674186.0,4.193544864654541,GILS_cost
GILS_45_19.tsp,45,1035,0.0434782608695652,23.0,1.0454545454545454,0.3868616402162791,44,733232.0,0.0,6407.0,2650.4345679012345,1346.4999756717682,1813062.1844840725,1586.0,3583.0,0.0232558139534883,0.0329105003523608,0.0265624126089242,0.0031333167808197,9.81767404896686e-06,0.0232558139534883,0.0288935870331219,0.0002550251547539,0.0005034209743484,0.0003817648285957,6.951782580393381e-05,4.8327281045060866e-09,0.0003256268316509,0.0004310598193467,558252.0,3.6367669105529785,719303.0,0.0315527915954589,592410.0,3.042632341384888,GILS_cost
GILS_49_1.tsp,49,1225,0.04,25.0,1.0416666666666667,0.4082817569825287,48,652775.0,0.0,5433.0,2382.935443565181,1194.662374342134,1427218.1886687852,1508.0,3298.0,0.0212765957446808,0.0344731509625126,0.0248892992691842,0.0036968230389594,1.36665005813815e-05,0.0212765957446808,0.0273345153664302,0.0002907610670931,0.0005518319671659,0.0004209252789883,6.466334094015264e-05,4.1813476615424215e-09,0.0003653079241377,0.0004661280298321,527234.0,4.956284046173096,759284.0,0.0403723716735839,567651.0,5.770063877105713,GILS_cost
GILS_50_0.tsp,50,1275,0.0392156862745098,25.5,1.0408163265306123,0.3429831662607583,49,850145.0,0.0,6606.0,2416.6544,1236.626398780424,1529244.85016064,1519.0,3259.0,0.0208333333333333,0.0376523136727218,0.0249181737102655,0.0040120549969483,1.6096585298538575e-05,0.0215419501133786,0.0275386196145124,0.0002728680098455,0.000563140716223,0.0004231041359313,8.53492767368744e-05,7.284499039507571e-09,0.0003524424468739,0.000476993769408,670061.0,4.063950061798096,814493.0,0.0430784225463867,657786.0,6.5915915966033936,DBMEA_cost
GILS_50_10.tsp,50,1275,0.0392156862745098,25.5,1.0408163265306123,0.360904412584005,49,810382.0,0.0,6044.0,2345.0016,1224.0284950921036,1498245.75679744,1409.0,3224.0,0.0208333333333333,0.0315638160025915,0.0241917314544865,0.0030216876780431,9.130596423637651e-06,0.0216836734693877,0.0259920634920634,0.0002973319012858,0.0005644250927269,0.0004321980981861,7.661744364458441e-05,5.8702326706310685e-09,0.0003621892079244,0.0005081661372016,608851.0,6.835645437240601,875013.0,0.0440490245819091,631206.0,6.869442939758301,GILS_cost
GILS_51_7.tsp,51,1326,0.0384615384615384,26.0,1.04,0.4157811003543561,50,779757.0,0.0,6373.0,2862.209150326797,1407.858839311395,1982066.5114272288,1848.0,3978.0,0.0204081632653061,0.0327725947521866,0.0239356010802589,0.0033253840196067,1.1058178877855683e-05,0.0206802721088435,0.0262390670553935,0.0002563708147464,0.0004501787209522,0.0003488525234368,4.7440127314215485e-05,2.250565679588974e-09,0.0003145173553005,0.0003794865557226,658930.0,4.899986505508423,879619.0,0.0460507869720459,644785.0,5.2241857051849365,DBMEA_cost
GILS_53_3.tsp,53,1431,0.037037037037037,27.0,1.0384615384615383,0.3778063675878999,52,848869.0,0.0,6364.0,2570.5724457102174,1266.5604979702382,1604175.495018618,1612.0,3516.0,0.0196078431372549,0.0313994828700711,0.022547912891975,0.0029451235896813,8.673752958497647e-06,0.0196078431372549,0.0247001364648423,0.000266642053554,0.000509584100976,0.0003913512993676,6.096471727491821e-05,3.7166967524107116e-09,0.0003522748828008,0.0004379057997254,773600.0,5.683778285980225,984575.0,0.0526087284088134,735537.0,6.202366352081299,DBMEA_cost
GILS_55_12.tsp,55,1540,0.0357142857142857,28.0,1.037037037037037,0.4115499325190016,54,982931.0,0.0,5971.0,2644.885950413224,1305.6274134281846,1704662.942695171,1687.0,3708.0,0.0188679245283018,0.0284083724335296,0.0218430607643491,0.0027306204427705,7.456288002476205e-06,0.0193892643578178,0.0234742604239459,0.0002628159266451,0.0005,0.0003797979932673,5.746026005327782e-05,3.3016814853903143e-09,0.0003425614709041,0.0004080615467179,703088.0,7.707194805145264,959948.0,0.0574798583984375,725188.0,7.395723819732666,GILS_cost
GILS_55_5.tsp,55,1540,0.0357142857142857,28.0,1.037037037037037,0.369035641834194,54,894237.0,0.0,6406.0,2533.018181818182,1253.78819200582,1571984.8304132232,1592.0,3453.0,0.0188679245283018,0.0283789779596907,0.022296782338711,0.002699191710772,7.285635891500658e-06,0.0197996738877242,0.0240333100395993,0.0002763717507126,0.0005184481119847,0.0003976438201867,6.237900006643328e-05,3.891139649288082e-09,0.0003502505312096,0.0004436834619714,782125.0,7.0097174644470215,1093954.0,0.0572988986968994,790240.0,9.180590629577637,GILS_cost
GILS_55_6.tsp,55,1540,0.0357142857142857,28.0,1.037037037037037,0.3825162014293511,54,898446.0,0.0,6245.0,2555.6343801652893,1242.9778146892806,1544993.84780974,1590.0,3474.0,0.0188679245283018,0.0290472862799906,0.0223500504338677,0.0028720945733258,8.24892723812787e-06,0.01988702539017,0.0239304293811631,0.0002866942034679,0.0005130592583443,0.0003928189328882,5.860352150678574e-05,3.434372732996299e-09,0.0003488748416834,0.00043364589768,743870.0,7.9472572803497314,1147662.0,0.0581417083740234,791262.0,6.925820827484131,GILS_cost
GILS_56_11.tsp,56,1596,0.0350877192982456,28.5,1.0363636363636364,0.4010221822491782,55,933627.0,0.0,5979.0,2568.1772959183672,1249.241785021502,1560605.0374437084,1642.5,3461.25,0.0185185185185185,0.0314478114478114,0.0216668472866733,0.0031074002047756,9.655936032639985e-06,0.0190516273849607,0.022864758698092,0.0002572991078738,0.0005107584298357,0.0003916645045044,6.053606644427069e-05,3.664615340545156e-09,0.0003365309573182,0.0004349615573542,759846.0,6.946732521057129,1096973.0,0.060450792312622,787872.0,6.874708414077759,GILS_cost
GILS_61_11.tsp,61,1891,0.032258064516129,31.0,1.0333333333333334,0.3831845564034165,60,1114888.0,0.0,6390.0,2637.394248857834,1305.6150163756038,1704630.570985468,1618.0,3642.0,0.0169491525423728,0.029804950228679,0.0200758689922346,0.0030730628752673,9.443715435346536e-06,0.0175141242937853,0.0216572504708097,0.0002534789992649,0.0005063761193022,0.0003825442400574,6.10672653710076e-05,3.7292108998930655e-09,0.000328817572011,0.0004245112813873,918319.0,9.065027475357056,1238873.0,0.0788698196411132,917793.0,12.56242561340332,DBMEA_cost
GILS_61_3.tsp,61,1891,0.032258064516129,31.0,1.0333333333333334,0.4050563958033765,60,1071096.0,0.0,5898.0,2558.096748185972,1248.1904041112962,1557979.2849155208,1642.0,3438.0,0.0169491525423728,0.0287126715092816,0.0200523873078749,0.0030026683408212,9.016017164970024e-06,0.0173258003766478,0.0213276836158192,0.0002789607781145,0.0005242372348233,0.0003955636955319,6.736956902870602e-05,4.5386588311135845e-09,0.0003352479717497,0.0004473739151182,915789.0,8.531644344329834,1328515.0,0.0803616046905517,962323.0,11.221095085144045,GILS_cost
GILS_62_1.tsp,62,1953,0.0317460317460317,31.5,1.0327868852459017,0.4092697743683382,61,1081271.0,0.0,5943.0,2616.7523413111344,1280.823600576272,1640509.0957931653,1597.0,3552.0,0.0166666666666666,0.0264602307225258,0.0197888379908475,0.003003513353423,9.02109246419081e-06,0.0171448087431694,0.0221123116410001,0.0002712051288891,0.0005048164454301,0.0003845130768758,5.751738473818922e-05,3.308249547120882e-09,0.0003476392907703,0.0004374474317281,866231.0,11.319061517715454,1394372.0,0.0819089412689209,895482.0,8.979029655456543,GILS_cost
GILS_65_11.tsp,65,2145,0.0303030303030303,33.0,1.03125,0.3702037850336061,64,1084797.0,0.0,6611.0,2634.4336094674554,1299.6783306747225,1689163.7632254334,1662.0,3581.0,0.0158730158730158,0.0268518518518518,0.0192060030721889,0.0027514692971746,7.570583293294909e-06,0.0165934429327286,0.0205616969009826,0.0002579875359771,0.0005068985727637,0.0003840103199068,6.221161326554953e-05,3.870284825102298e-09,0.0003474107045923,0.0004229866825286,959814.0,8.601470947265625,1340747.0,0.0945453643798828,1019145.0,14.723163366317747,GILS_cost
